ID,Name,Type,Faction,Influence,Agenda
01001,"Noise: Hacker Extraordinaire",Identity,Anarch,15,0
01002,"Déjà  Vu",Event,Anarch,2,0
01003,"Demolition Run",Event,Anarch,2,0
01004,"Stimhack",Event,Anarch,1,0
01005,"Cyberfeeder",Hardware,Anarch,1,0
01006,"Grimoire",Hardware,Anarch,2,0
01007,"Corroder",Program,Anarch,2,0
01008,"Datasucker",Program,Anarch,1,0
01009,"Djinn",Program,Anarch,2,0
01010,"Medium",Program,Anarch,3,0
01011,"Mimic",Program,Anarch,1,0
01012,"Parasite",Program,Anarch,2,0
01013,"Wyrm",Program,Anarch,2,0
01014,"Yog.0",Program,Anarch,1,0
01015,"Ice Carver",Resource,Anarch,3,0
01016,"Wyldside",Resource,Anarch,3,0
01017,"Gabriel Santiago: Consummate Professional",Identity,Criminal,15,0
01018,"Account Siphon",Event,Criminal,4,0
01019,"Easy Mark",Event,Criminal,1,0
01020,"Forged Activation Orders",Event,Criminal,2,0
01021,"Inside Job",Event,Criminal,3,0
01022,"Special Order",Event,Criminal,2,0
01023,"Lemuria Codecracker",Hardware,Criminal,1,0
01024,"Desperado",Hardware,Criminal,3,0
01025,"Aurora",Program,Criminal,1,0
01026,"Femme Fatale",Program,Criminal,1,0
01027,"Ninja",Program,Criminal,2,0
01028,"Sneakdoor Beta",Program,Criminal,3,0
01029,"Bank Job",Resource,Criminal,2,0
01030,"Crash Space",Resource,Criminal,2,0
01031,"Data Dealer",Resource,Criminal,2,0
01032,"Decoy",Resource,Criminal,2,0
01033,"Kate ""Mac"" McCaffrey: Digital Tinker",Identity,Shaper,15,0
01034,"Diesel",Event,Shaper,2,0
01035,"Modded",Event,Shaper,2,0
01036,"The Maker's Eye",Event,Shaper,2,0
01037,"Tinkering",Event,Shaper,4,0
01038,"Akamatsu Mem Chip",Hardware,Shaper,1,0
01039,"Rabbit Hole",Hardware,Shaper,1,0
01040,"The Personal Touch",Hardware,Shaper,2,0
01041,"The Toolbox",Hardware,Shaper,2,0
01042,"Battering Ram",Program,Shaper,2,0
01043,"Gordian Blade",Program,Shaper,3,0
01044,"Magnum Opus",Program,Shaper,2,0
01045,"Net Shield",Program,Shaper,1,0
01046,"Pipeline",Program,Shaper,1,0
01047,"Aesop's Pawnshop",Resource,Shaper,2,0
01048,"Sacrificial Construct",Resource,Shaper,1,0
01049,"Infiltration",Event,Neutral,0,0
01050,"Sure Gamble",Event,Neutral,0,0
01051,"Crypsis",Program,Neutral,0,0
01052,"Access to Globalsec",Resource,Neutral,0,0
01053,"Armitage Codebusting",Resource,Neutral,0,0
01054,"Haas-Bioroid: Engineering the Future",Identity,HaasBioroid,15,0
01055,"Accelerated Beta Test",Agenda,HaasBioroid,0,2
01056,"Adonis Campaign",Asset,HaasBioroid,2,0
01057,"Aggressive Secretary",Asset,HaasBioroid,2,0
01058,"Archived Memories",Operation,HaasBioroid,2,0
01059,"Biotic Labor",Operation,HaasBioroid,4,0
01060,"Shipment from MirrorMorph",Operation,HaasBioroid,2,0
01061,"Heimdall 1.0",ICE,HaasBioroid,2,0
01062,"Ichi 1.0",ICE,HaasBioroid,2,0
01063,"Viktor 1.0",ICE,HaasBioroid,2,0
01064,"Rototurret",ICE,HaasBioroid,1,0
01065,"Corporate Troubleshooter",Upgrade,HaasBioroid,1,0
01066,"Experiential Data",Upgrade,HaasBioroid,1,0
01067,"Jinteki: Personal Evolution",Identity,Jinteki,15,0
01068,"Nisei MK II",Agenda,Jinteki,0,2
01069,"Project Junebug",Asset,Jinteki,1,0
01070,"Snare!",Asset,Jinteki,2,0
01071,"Zaibatsu Loyalty",Asset,Jinteki,1,0
01072,"Neural EMP",Operation,Jinteki,2,0
01073,"Precognition",Operation,Jinteki,3,0
01074,"Cell Portal",ICE,Jinteki,2,0
01075,"Chum",ICE,Jinteki,1,0
01076,"Data Mine",ICE,Jinteki,2,0
01077,"Neural Katana",ICE,Jinteki,2,0
01078,"Wall of Thorns",ICE,Jinteki,1,0
01079,"Akitaro Watanabe",Upgrade,Jinteki,2,0
01080,"NBN: Making News",Identity,NBN,15,0
01081,"AstroScript Pilot Program",Agenda,NBN,0,2
01082,"Breaking News",Agenda,NBN,0,1
01083,"Anonymous Tip",Operation,NBN,1,0
01084,"Closed Accounts",Operation,NBN,1,0
01085,"Psychographics",Operation,NBN,3,0
01086,"SEA Source",Operation,NBN,2,0
01087,"Ghost Branch",Asset,NBN,1,0
01088,"Data Raven",ICE,NBN,2,0
01089,"Matrix Analyzer",ICE,NBN,2,0
01090,"Tollbooth",ICE,NBN,2,0
01091,"Red Herrings",Upgrade,NBN,2,0
01092,"SanSan City Grid",Upgrade,NBN,3,0
01093,"Weyland Consortium: Building a Better World",Identity,Weyland,15,0
01094,"Hostile Takeover",Agenda,Weyland,0,1
01095,"Posted Bounty",Agenda,Weyland,0,1
01096,"Security Subcontract",Asset,Weyland,1,0
01097,"Aggressive Negotiation",Operation,Weyland,1,0
01098,"Beanstalk Royalties",Operation,Weyland,1,0
01099,"Scorched Earth",Operation,Weyland,4,0
01100,"Shipment from Kaguya",Operation,Weyland,1,0
01101,"Archer",ICE,Weyland,2,0
01102,"Hadrian's Wall",ICE,Weyland,3,0
01103,"Ice Wall",ICE,Weyland,1,0
01104,"Shadow",ICE,Weyland,1,0
01105,"Research Station",Upgrade,Weyland,1,0
01106,"Priority Requisition",Agenda,Neutral,0,3
01107,"Private Security Force",Agenda,Neutral,0,2
01108,"Melange Mining Corp.",Asset,Neutral,0,0
01109,"PAD Campaign",Asset,Neutral,0,0
01110,"Hedge Fund",Operation,Neutral,0,0
01111,"Enigma",ICE,Neutral,0,0
01112,"Hunter",ICE,Neutral,0,0
01113,"Wall of Static",ICE,Neutral,0,0
02001,"Whizzard: Master Gamer",Identity,Anarch,15,0
02002,"Spinal Modem",Hardware,Anarch,2,0
02003,"Imp",Program,Anarch,3,0
02004,"Morning Star",Program,Anarch,4,0
02005,"Cortez Chip",Hardware,Criminal,2,0
02006,"Peacock",Program,Criminal,2,0
02007,"ZU.13 Key Master",Program,Shaper,2,0
02008,"The Helpful AI",Resource,Shaper,2,0
02009,"Plascrete Carapace",Hardware,Neutral,0,0
02010,"Haas-Bioroid: Stronger Together",Identity,HaasBioroid,15,0
02011,"Mandatory Upgrades",Agenda,HaasBioroid,0,2
02012,"Janus 1.0",ICE,HaasBioroid,3,0
02013,"Ash 2X3ZB9CY",Upgrade,HaasBioroid,2,0
